,minute_str,Instrument,mean_ask,mean_bid,cumcashvol,cumvolume,openinterest,is_call,strike,maturity,underly_mean_mid,mean_mid,twap,date_str
0,2024-06-03 21:00,CF2409P13800,84.25,79.625,5295.0,13.0,3955.0,0.0,13800.0,70.0,14975.625,81.9375,81.25,2024-06-03
1,2024-06-03 21:00,CF2409P14200,142.6315789473684,138.57894736842104,12745.0,18.0,0.0,0.0,14200.0,70.0,14982.236842105263,140.60526315789474,138.52631578947367,2024-06-03
2,2024-06-03 21:00,CF2409P14400,189.66666666666666,184.88888888888889,7500.0,8.0,5919.0,0.0,14400.0,70.0,14976.388888888889,187.27777777777777,187.44444444444446,2024-06-03
3,2024-06-03 21:00,CF2409P14600,252.0,250.5,25100.0,20.0,7909.0,0.0,14600.0,70.0,14972.5,251.25,251.0,2024-06-03
4,2024-06-03 21:00,CF2409C14800,502.1363636363636,487.3636363636364,7430.0,3.0,745.0,1.0,14800.0,70.0,14978.40909090909,494.75,496.1818181818182,2024-06-03
5,2024-06-03 21:00,CF2409P14800,326.27272727272725,320.27272727272725,21100.0,13.0,0.0,0.0,14800.0,70.0,14974.318181818182,323.27272727272725,324.3636363636364,2024-06-03
6,2024-06-03 21:00,CF2409C15000,394.1,388.56,19350.0,10.0,1306.0,1.0,15000.0,70.0,14987.9,391.33,391.94,2024-06-03
7,2024-06-03 21:00,CF2409P15000,421.07142857142856,406.92857142857144,2000.0,1.0,0.0,0.0,15000.0,70.0,14977.5,414.0,400.0,2024-06-03
8,2024-06-03 21:00,CF2409C15400,223.0,217.375,5540.0,5.0,0.0,1.0,15400.0,70.0,14979.375,220.1875,222.125,2024-06-03
9,2024-06-03 21:00,CF2409C16000,107.72,106.52,18270.0,34.0,17810.0,1.0,16000.0,70.0,14978.7,107.12,107.48,2024-06-03
10,2024-06-03 21:00,CF2409C16200,84.5,82.0,420.0,1.0,0.0,1.0,16200.0,70.0,14977.5,83.25,84.0,2024-06-03
11,2024-06-03 21:00,CF2409C18400,27.2,26.0,310.0,2.0,26912.0,1.0,18400.0,70.0,14977.5,26.6,31.0,2024-06-03
12,2024-06-03 21:01,CF2409P13400,50.0,48.733333333333334,7695.0,31.0,7920.0,0.0,13400.0,70.0,14977.166666666666,49.36666666666667,49.266666666666666,2024-06-03
13,2024-06-03 21:01,CF2409P13800,83.03225806451613,81.0,5705.0,14.0,3956.0,0.0,13800.0,70.0,14977.58064516129,82.01612903225806,82.0,2024-06-03
14,2024-06-03 21:01,CF2409P14000,107.16129032258064,105.35483870967742,27030.0,51.0,10167.0,0.0,14000.0,70.0,14977.5,106.25806451612904,104.83870967741936,2024-06-03
15,2024-06-03 21:01,CF2409P14200,144.98360655737704,141.49180327868854,16370.0,23.0,11447.0,0.0,14200.0,70.0,14977.295081967213,143.2377049180328,144.60655737704917,2024-06-03
